Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
adiyogi-copper-water-bottle,"Adiyogi Copper Water Bottle, 950 ml",Title,Default Title,,,,,0105969,,IN,Isha Yoga Center SG,,0,0,0,15,15,
adiyogi-copper-earring,Adiyogi Copper Earring,Title,Default Title,,,,,0113614,,IN,Isha Yoga Center SG,,0,0,0,2,2,
adiyogi-printed-shawl-cotton,Adiyogi Printed Shawl Cotton,Title,Default Title,,,,,0203312,,IN,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-the-source-of-yoga-english,Adiyogi - The Source of Yoga (English),Title,Default Title,,,,,9789352643929,,IN,Isha Yoga Center SG,,1,0,0,16,16,
adiyogi-statue-4-inch-plastic,"Adiyogi Statue (4 inch, Plastic)",Title,Default Title,,,,,0111087,,IN,Isha Yoga Center SG,,0,0,0,4,4,
adiyogi-statue-12-inch-metal,"Adiyogi Statue (12 inch, Metal)",Title,Default Title,,,,,TC0007517100,,IN,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-statue-6-inch-metal,"Adiyogi Statue (6 inch, Metal)",Title,Default Title,,,,,0111085,,IN,Isha Yoga Center SG,,0,0,0,6,6,
adiyogi-silver-earring,Adiyogi Silver Earring,Title,Default Title,,,,,0113604,,IN,Isha Yoga Center SG,,0,0,1,7,8,
adiyogi-notebook,Adiyogi Notebook,Title,Default Title,,,,,"",,,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-key-chains,Adiyogi Key Chain,Title,Default Title,,,,,0106536,,IN,Isha Yoga Center SG,,0,0,0,20,20,
aum-namah-shivaya-fridge-magnet,Aum Namah Shivaya Magnet,Title,Default Title,,,,,0106544,,,Isha Yoga Center SG,,0,0,0,28,28,
arthi-stand,Arthi Stand,Title,Default Title,,,,,0111045,,,Isha Yoga Center SG,,0,0,0,18,18,
arputhar,Arputhar,Title,Default Title,,,,,0508079,,,Isha Yoga Center SG,,0,0,0,8,8,
a-taste-of-well-being,A Taste of Well Being,Title,Default Title,,,,,9789351363781,,,Isha Yoga Center SG,,0,0,0,28,28,
3-month-refill-camphor,3 Month Bhuta Shuddhi Refill - Camphor,Title,Default Title,,,,,0111035,,IN,Isha Yoga Center SG,,0,0,2,79,81,
amla-shikakai-herbal-shampoo-200-ml,"Amla Shikakai Herbal Shampoo, 200 ml",Title,Default Title,,,,,0305001,,IN,Isha Yoga Center SG,,0,0,0,0,0,
aththanaikum-aasaipadu,Aththanaikum Aasaipadu,Title,Default Title,,,,,"",,,Isha Yoga Center SG,,0,0,0,1,1,
365-thoughts-of-the-day,365 Thoughts of the Day,Title,Default Title,,,,,MIS018,,IN,Isha Yoga Center SG,,0,0,0,5,5,
amla-tablet-60-pcs-immunity-booster,"Amla Tablet, 60 pcs - Immunity booster",Title,Default Title,,,,,8905795001251,,IN,Isha Yoga Center SG,,1,0,0,0,0,
adiyogi-neem-pen,Adiyogi Neem Pen,Title,Default Title,,,,,"",,,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-fridge-magnet-1,Adiyogi Fridge Magnet,Title,Default Title,,,,,0106543,,,Isha Yoga Center SG,,0,0,0,12,12,
bamboo-toothbrush-adult,Bamboo Toothbrush - Adult,Title,Default Title,,,,,0106737,,,Isha Yoga Center SG,,0,0,0,9,9,
amla-shikakai-herbal-shampoo-sls-free-200-ml,Amla Shikakai Herbal Shampoo Sls free 200 Ml,Title,Default Title,,,,,0305037,,,Isha Yoga Center SG,,0,0,0,0,0,
beeswax-natural-oil-perfume-ayurveda,Beeswax Natural Oil Perfume - Ayurveda,Title,Default Title,,,,,0110231,,IN,Isha Yoga Center SG,,0,0,0,0,0,
beeswax-natural-oil-perfume-indian-summer,Beeswax Natural Oil Perfume - Indian Summer,Title,Default Title,,,,,0110232,,,Isha Yoga Center SG,,0,0,0,0,0,
solid-perfume-in-brass-cloisonne-jar-jasmine-orient-4g,Beeswax Natural Oil Perfume - Jasmine Orient,Title,Default Title,,,,,0110233,,,Isha Yoga Center SG,,1,0,0,12,12,
beeswax-natural-oil-perfume-lily-of-the-valley,Beeswax Natural Oil Perfume - Lily of the Valley,Title,Default Title,,,,,0110234,,,Isha Yoga Center SG,,0,0,0,7,7,
beeswax-natural-oil-perfume-relax,Beeswax Natural Oil Perfume - Relax,Title,Default Title,,,,,0110235,,,Isha Yoga Center SG,,0,0,0,2,2,
kids-bamboo-toothbrush,Bamboo Toothbrush - Kids,Title,Default Title,,,,,0106738,,,Isha Yoga Center SG,,0,0,0,16,16,
bhairavi-raksha,Bhairavi Raksha,Size,L,,,,,0111226,,,Isha Yoga Center SG,,0,0,0,10,10,
bhairavi-raksha,Bhairavi Raksha,Size,M,,,,,0111225,,,Isha Yoga Center SG,,0,0,0,8,8,
bhairavi-raksha,Bhairavi Raksha,Size,S,,,,,0111224,,,Isha Yoga Center SG,,0,0,0,32,32,
ajmeri-fumer-with-tong,Ajmeri Fumer With Tong,Title,Default Title,,,,,0601066,,,Isha Yoga Center SG,,0,0,0,0,0,
