Product ID,Variant ID,Title,Product Type,SKU Code,Variant,Inventory ID,Weight,,"Inv
Qty","Sale
Rate",Price,Inc,Stopped,6m Sale Qty,6m Qty Inv,6m Qty,Total Wt 1987173.35kg,Total Amt,6 mth qty,
2518938288213,22101467398229,3 Month Bhuta Shuddhi Refill - Camphor,Program Accessories,0111035,,22963089670229,0.076,kg,79,0.500,10,30,,,,,,,,109
2518921904213,22101401960533,A Taste of Well Being,Books - English,9789351363781,,22963011846229,0.4,kg,28,0.045,14,20,,8,40,,0.00,392.00,8.181818182,40
2518854434901,22101232615509,Adiyogi - The Source of Yoga (English),Books - English,9789352643929,,22962822250581,0.4,kg,16,0.011,14,0,,2,14,70,28.00,224.00,2.045454545,14
7005495689301,40803924967509,Adiyogi Chant Box & Night Lamp - Regular,Home Decor - Chant Box,TC0008700400,,42909342564437,220,g,5,0.000,18,6,,0,11,300,66000.00,90.00,0,11
7005495951445,40803925295189,Adiyogi Copper Diffuser - Big,Home Decor - Diffuser,ATAS04CDLG01,,42909342892117,125,g,0,-1.000,170,0,,,,,,,,
7034194034773,40884745928789,Adiyogi Copper Drinkware Set,Copper - Drinkware,YS0014200000,,42990167359573,0.45,kg,0,0.018,65,4,,3,1,,0.00,0.00,3.272727273,1
2518845456469,22101212594261,Adiyogi Copper Earring,Jewellery - Earrings,0113614,,22962795872341,0.05,kg,2,0.028,16,0,,5,-3,,0.00,32.00,5.113636364,-3
2518813835349,22101130543189,"Adiyogi Copper Water Bottle, 950 ml",Yoga Store - Copper Bottles,0105969,,22962709921877,1.5,kg,15,0.006,66,0,,1,14,,0.00,990.00,1.022727273,14
4736121831509,32591781855317,Adiyogi Fridge Magnet,Home Decor - Fridge Magnets,0106543,,34554802405461,0.04,kg,12,0.011,5,0,,2,10,10,0.40,60.00,2.045454545,10
2518870032469,22101283274837,Adiyogi Key Chain,Home Decor - Key Chains,0106536,,22962876481621,0.1,kg,20,0.006,3,0,,1,19,20,2.00,60.00,1.022727273,19
7034144391253,40884625113173,"Adiyogi miniature 2"" car stand - Black (Metal)",Art & Craft - Metal Art,ME0037600000,,42990046740565,0.11,kg,0,-1.000,8,0,,-180,180,,0.00,0.00,,0
6971431452757,40710569263189,Adiyogi Rudraksha with copper chain. Consecrated Isha Panchamukhi (five faced) Rudraksha bead.,Jewellery - Copper,RS0000100000,,42815805554773,0.075,kg,10,0.090,12,5,,,,,,,,15
2518869770325,22101282979925,Adiyogi Silver Earring,Jewellery - Earrings,0113604,,22962876186709,0.01,kg,7,0.021,80,0,,4,3,,0.00,560.00,,7
2518860660821,22101253259349,"Adiyogi Statue (12 inch, Metal)",Consecrated - Adiyogi Miniatures,TC0007517100,,22962845089877,10,kg,0,0.025,350,0,,4,-4,50,500.00,0.00,4.444444444,-4
2518860431445,22101253062741,"Adiyogi Statue (4 inch, Plastic)",Consecrated - Adiyogi Miniatures,0111087,,22962842959957,0.4,kg,4,0.085,8,0,,15,-11,,0.00,30.00,15.34090909,-11
2518860955733,22101255815253,"Adiyogi Statue (6 inch, Metal)",Consecrated - Adiyogi Miniatures,0111085,,22962845515861,2.5,kg,5,0.132,100,5,,24,-14,,0.00,500.00,23.68421053,-14
7034144555093,40884625309781,Adiyogi Statue Metal - 4 inch - Antique Brass,Home Decor,TC0007517900,,42990046937173,0.25,kg,2,0.000,75,3,,0,5,,0.00,150.00,0,5
7034144456789,40884625211477,Adiyogi Statue Metal - 4 inch - Antique Nickel,Home Decor,TC0007517700,,42990046838869,0.25,kg,2,0.000,60,3,,0,5,,0.00,120.00,0,5
7034144489557,40884625244245,Adiyogi Statue Metal - 4 inch - Oxidised Bronze,Home Decor,TC0007517800,,42990046871637,0.25,kg,0,0.026,60,3,,5,-2,,0.00,0.00,4.655172414,-2
4559942058069,31855923953749,"Amla Tablet, 60 pcs - Immunity booster",Health - Herbal Supplements,8905795001251,,33717603565653,0.15,kg,0,9.000,5,60,,1620,-1560,,,0.00,1620,-1560
2518920527957,22101398323285,Arputhar,Books - Tamil,0508079,,22963008077909,0.52,kg,8,0.000,5,0,,0,8,,0.00,40.00,0,8
2518914662485,22101381677141,Arthi Stand,Consecrated Devi - Arthi Stand,0111045,,22962988122197,0.29,kg,18,0.017,25,0,,3,15,50,14.50,450.00,3.068181818,15
7005496148053,40803925885013,Aum Namah Shivaya Adjustable Hammered Copper Cuff,Jewellery - Copper,CA0120500000,,42909343481941,27,g,0,0.058,11,16,,10,6,,0.00,0.00,10.46511628,6
